Cell_Line	Donor_Sex	Donor_Age	Avg_Donor_Age	Origin_Cell	Reprogramming_Method	Mean_X_Chrom_ASE	Pool (rep1)	Passage_Number (rep1)	Pool (rep2)	Passage_Number (rep2)	Pool (rep3)	Passage_Number (rep3)
HPSI0914i-kajh_2	female	60-64	62	fibroblast	sendai	0.314565616	5	35	18	37	-	-
HPSI0914i-laey_6	female	70-74	72	fibroblast	sendai	0.281690951	5	20	6	19	16	21
HPSI0914i-ouvb_2	female	50-54	52	fibroblast	sendai	0.314231051	8	33	9	33	-	-
HPSI0914i-rejf_2	female	60-64	62	fibroblast	sendai	0.167818808	9	26	-	-	-	-
HPSI0914i-suop_5	male	50-54	52	fibroblast	sendai	NA	1	17	-	-	-	-
HPSI0914i-vaka_5	female	60-64	62	fibroblast	sendai	0.106548833	3	18	-	-	-	-
HPSI0914i-yuvg_2	male	50-54	52	fibroblast	sendai	NA	7	16	10	16	-	-
HPSI0914i-zerv_7	female	40-44	42	fibroblast	sendai	0.064080275	7	20	8	18	-	-
HPSI1013i-garx_2	female	50-54	52	fibroblast	sendai	0.110987348	9	28	-	-	-	-
HPSI1013i-hiaf_1	male	65-69	67	fibroblast	sendai	NA	5	34	6	34	-	-
HPSI1013i-jogf_2	male	30-34	32	fibroblast	sendai	NA	9	31	-	-	-	-
HPSI1013i-jufd_3	male	45-49	47	fibroblast	sendai	NA	13	45	-	-	-	-
HPSI1013i-kuxp_1	male	25-29	27	fibroblast	sendai	NA	14	37	-	-	-	-
HPSI1013i-sita_1	male	40-44	42	fibroblast	sendai	NA	8	25	-	-	-	-
HPSI1013i-woci_1	female	40-44	42	fibroblast	sendai	NA	6	24	-	-	-	-
HPSI1013i-wopl_2	male	55-59	57	fibroblast	sendai	NA	9	29	-	-	-	-
HPSI1013i-zagm_1	male	60-64	62	fibroblast	sendai	NA	6	17	-	-	-	-
HPSI1014i-babz_3	female	50-54	52	fibroblast	sendai	0.309377865	8	25	-	-	-	-
HPSI1014i-bilx_1	male	55-59	57	fibroblast	sendai	NA	4	19	-	-	-	-
HPSI1014i-boss_1	male	70-74	72	fibroblast	sendai	NA	13	29	-	-	-	-
HPSI1014i-eesb_1	female	65-69	67	fibroblast	sendai	0.199142445	4	17	-	-	-	-
HPSI1014i-kefb_1	male	65-69	67	fibroblast	sendai	NA	8	27	-	-	-	-
HPSI1014i-nosn_1	female	55-59	57	fibroblast	sendai	0.085009846	5	19	6	18	-	-
HPSI1014i-qayj_4	female	60-64	62	fibroblast	sendai	0.38070719	5	26	-	-	-	-
HPSI1014i-quls_2	male	55-59	57	fibroblast	sendai	NA	3	29	-	-	-	-
HPSI1014i-roug_3	female	70-74	72	fibroblast	sendai	0.239106395	7	46	-	-	-	-
HPSI1014i-sehl_6	female	55-59	57	fibroblast	sendai	0.206973276	6	34	-	-	-	-
HPSI1014i-tixi_4	female	70-74	72	fibroblast	sendai	0.074829952	7	20	-	-	-	-
HPSI1014i-tuju_1	female	50-54	52	fibroblast	sendai	0.249246207	6	27	-	-	-	-
HPSI1014i-vils_1	female	35-39	37	fibroblast	sendai	0.235036006	8	15	-	-	-	-
HPSI1113i-bima_1	male	40-44	42	fibroblast	sendai	NA	13	36	-	-	-	-
HPSI1113i-hayt_3	male	70-74	72	fibroblast	sendai	NA	9	48	-	-	-	-
HPSI1113i-ieki_3	female	55-59	57	fibroblast	sendai	0.017848783	9	41	-	-	-	-
HPSI1113i-podx_1	female	65-69	67	fibroblast	sendai	0.172699039	1	37	-	-	-	-
HPSI1113i-qolg_1	male	35-39	37	fibroblast	sendai	NA	9	28	16	30	-	-
HPSI1113i-qorq_1	male	50-54	52	fibroblast	sendai	NA	17	35	-	-	-	-
HPSI1113i-uofv_1	male	60-64	62	fibroblast	sendai	NA	13	55	-	-	-	-
HPSI1113i-vuud_2	female	55-59	57	fibroblast	sendai	0.201668125	5	23	-	-	-	-
HPSI1114i-kuul_1	male	60-64	62	fibroblast	sendai	NA	6	22	7	22	-	-
HPSI1114i-ualf_6	female	55-59	57	fibroblast	sendai	0.244809613	6	30	-	-	-	-
HPSI1114i-zuuy_4	female	70-74	72	fibroblast	sendai	NA	13	18	-	-	-	-
HPSI1213i-hehd_1	female	60-64	62	fibroblast	sendai	0.275665388	4	45	5	46	-	-
HPSI1213i-tolg_4	male	70-74	72	fibroblast	sendai	NA	6	27	19	24	-	-
